0.019 pkt: 0 | received
1.753 ACK: 879 | sent
1.753 pkt: 880 | received
1.753 ACK: 880 | sent
1.754 pkt: 881 | received
1.754 ACK: 881 | sent
1.755 pkt: 882 | received
1.755 ACK: 882 | sent
1.756 pkt: 883 | received
1.757 ACK: 883 | sent
1.757 pkt: 884 | received
1.757 ACK: 884 | sent
1.758 pkt: 885 | received
1.759 ACK: 885 | sent
1.759 pkt: 886 | received
1.759 ACK: 886 | sent
1.760 pkt: 887 | received
1.760 ACK: 887 | sent
1.765 pkt: 888 | received
1.765 ACK: 888 | sent
1.765 pkt: 889 | received
1.766 ACK: 889 | sent
1.766 pkt: 890 | received
1.766 ACK: 890 | sent
1.768 pkt: 891 | received
1.768 ACK: 891 | sent
1.769 pkt: 892 | received
1.770 ACK: 892 | sent
1.770 pkt: 893 | received
1.770 ACK: 893 | sent
1.771 pkt: 894 | received
1.771 ACK: 894 | sent
1.772 pkt: 895 | received
1.772 ACK: 895 | sent
1.777 pkt: 896 | received
1.777 ACK: 896 | sent
1.777 pkt: 897 | received
1.777 ACK: 897 | sent
1.780 pkt: 898 | received
1.780 ACK: 898 | sent
1.780 pkt: 867 | received
1.780 ACK: 898 | sent
1.781 pkt: 867 | received
1.781 ACK: 898 | sent
1.782 pkt: 867 | received
1.782 ACK: 898 | sent
1.784 pkt: 899 | received
1.784 ACK: 899 | sent
1.785 pkt: 900 | received
1.785 ACK: 900 | sent
1.786 pkt: 901 | received
1.786 ACK: 901 | sent
1.787 pkt: 902 | received
1.787 ACK: 902 | sent
1.788 pkt: 903 | received
1.788 ACK: 903 | sent
1.790 pkt: 904 | received
1.790 ACK: 904 | sent
1.791 pkt: 905 | received
1.791 ACK: 905 | sent
1.792 pkt: 906 | received
1.792 ACK: 906 | sent
1.793 pkt: 907 | received
1.793 ACK: 907 | sent
1.794 pkt: 908 | received
1.794 ACK: 908 | sent
1.795 pkt: 909 | received
1.795 ACK: 909 | sent
1.796 pkt: 910 | received
1.796 ACK: 910 | sent
1.798 pkt: 911 | received
1.798 ACK: 911 | sent
1.799 pkt: 912 | received
1.799 ACK: 912 | sent
1.805 pkt: 913 | received
1.806 ACK: 913 | sent
1.806 pkt: 914 | received
1.806 ACK: 914 | sent
1.806 pkt: 915 | received
1.806 ACK: 915 | sent
1.807 pkt: 916 | received
1.808 ACK: 916 | sent
1.808 pkt: 917 | received
1.808 ACK: 917 | sent
1.810 pkt: 918 | received
1.810 ACK: 918 | sent
1.811 pkt: 919 | received
1.811 ACK: 919 | sent
1.812 pkt: 920 | received
1.812 ACK: 920 | sent
1.813 pkt: 921 | received
1.813 ACK: 921 | sent
1.814 pkt: 922 | received
1.814 ACK: 922 | sent
1.816 pkt: 923 | received
1.816 ACK: 923 | sent
1.817 pkt: 924 | received
1.817 ACK: 924 | sent
1.818 pkt: 925 | received
1.818 ACK: 925 | sent
1.819 pkt: 926 | received
1.819 ACK: 926 | sent
1.820 pkt: 927 | received
1.820 ACK: 927 | sent
1.822 pkt: 928 | received
1.822 ACK: 928 | sent
1.822 pkt: 929 | received
1.822 ACK: 929 | sent
1.824 pkt: 930 | received
1.824 ACK: 930 | sent
1.826 pkt: 899 | received
1.826 ACK: 930 | sent
1.826 pkt: 931 | received
1.826 ACK: 931 | sent
1.828 pkt: 932 | received
1.828 ACK: 932 | sent
1.828 pkt: 933 | received
1.829 ACK: 933 | sent
1.829 pkt: 934 | received
1.829 ACK: 934 | sent
1.830 pkt: 935 | received
1.830 ACK: 935 | sent
1.831 pkt: 936 | received
1.831 ACK: 936 | sent
1.833 pkt: 937 | received
1.833 ACK: 937 | sent
1.834 pkt: 938 | received
1.834 ACK: 938 | sent
1.835 pkt: 939 | received
1.835 ACK: 939 | sent
1.836 pkt: 940 | received
1.836 ACK: 940 | sent
1.837 pkt: 941 | received
1.837 ACK: 941 | sent
1.838 pkt: 942 | received
1.838 ACK: 942 | sent
1.840 pkt: 943 | received
1.840 ACK: 943 | sent
1.841 pkt: 944 | received
1.841 ACK: 944 | sent
1.842 pkt: 945 | received
1.842 ACK: 945 | sent
1.843 pkt: 946 | received
1.843 ACK: 946 | sent
1.844 pkt: 947 | received
1.844 ACK: 947 | sent
1.846 pkt: 948 | received
1.846 ACK: 948 | sent
1.847 pkt: 949 | received
1.847 ACK: 949 | sent
1.848 pkt: 950 | received
1.848 ACK: 950 | sent
1.849 pkt: 951 | received
1.849 ACK: 951 | sent
1.850 pkt: 952 | received
1.850 ACK: 952 | sent
1.851 pkt: 953 | received
1.852 ACK: 953 | sent
1.852 pkt: 954 | received
1.853 ACK: 954 | sent
1.854 pkt: 955 | received
1.854 ACK: 955 | sent
1.855 pkt: 956 | received
1.855 ACK: 956 | sent
1.856 pkt: 957 | received
1.856 ACK: 957 | sent
1.858 pkt: 958 | received
1.858 ACK: 958 | sent
1.858 pkt: 959 | received
1.858 ACK: 959 | sent
1.860 pkt: 960 | received
1.860 ACK: 960 | sent
1.860 pkt: 961 | received
1.860 ACK: 961 | sent
1.862 pkt: 962 | received
1.862 ACK: 962 | sent
1.863 pkt: 963 | received
1.863 ACK: 963 | sent
1.864 pkt: 964 | received
1.864 ACK: 964 | sent
1.865 pkt: 965 | received
1.865 ACK: 965 | sent
1.868 pkt: 966 | received
1.868 ACK: 966 | sent
1.868 pkt: 967 | received
1.868 ACK: 967 | sent
1.869 pkt: 968 | received
1.869 ACK: 968 | sent
1.873 pkt: 969 | received
1.874 ACK: 969 | sent
1.874 pkt: 970 | received
1.874 ACK: 970 | sent
1.875 pkt: 971 | received
1.875 ACK: 971 | sent
1.876 pkt: 972 | received
1.876 ACK: 972 | sent
1.877 pkt: 973 | received
1.877 ACK: 973 | sent
1.880 pkt: 974 | received
1.880 ACK: 974 | sent
1.880 pkt: 975 | received
1.880 ACK: 975 | sent
1.882 pkt: 976 | received
1.882 ACK: 976 | sent
1.884 pkt: 977 | received
1.884 ACK: 977 | sent
1.884 pkt: 978 | received
1.884 ACK: 978 | sent
1.885 pkt: 979 | received
1.885 ACK: 979 | sent
1.888 pkt: 980 | received
1.888 ACK: 980 | sent
1.888 pkt: 981 | received
1.888 ACK: 981 | sent
1.890 pkt: 982 | received
1.890 ACK: 982 | sent
1.890 pkt: 983 | received
1.890 ACK: 983 | sent
1.892 pkt: 984 | received
1.892 ACK: 984 | sent
1.893 pkt: 985 | received
1.893 ACK: 985 | sent
1.894 pkt: 986 | received
1.894 ACK: 986 | sent
1.896 pkt: 987 | received
1.896 ACK: 987 | sent
1.896 pkt: 988 | received
1.896 ACK: 988 | sent
1.898 pkt: 989 | received
1.898 ACK: 989 | sent
1.899 pkt: 990 | received
1.899 ACK: 990 | sent
1.900 pkt: 991 | received
1.900 ACK: 991 | sent
1.901 pkt: 992 | received
1.901 ACK: 992 | sent
1.903 pkt: 993 | received
1.903 ACK: 993 | sent
1.904 pkt: 994 | received
1.904 ACK: 994 | sent
1.905 pkt: 995 | received
1.905 ACK: 995 | sent
1.907 pkt: 996 | received
1.907 ACK: 996 | sent
1.907 pkt: 997 | received
1.907 ACK: 997 | sent
1.908 pkt: 998 | received
1.908 ACK: 998 | sent
1.910 pkt: 999 | received
1.910 ACK: 999 | sent
1.910 pkt: 1000 | received
1.910 ACK: 1000 | sent
1.912 pkt: 1001 | received
1.912 ACK: 1001 | sent
1.912 pkt: 1002 | received
1.912 ACK: 1002 | sent
1.914 pkt: 1003 | received
1.914 ACK: 1003 | sent
1.916 pkt: 1004 | received
1.916 ACK: 1004 | sent
1.916 pkt: 1005 | received
1.916 ACK: 1005 | sent
1.917 pkt: 1006 | received
1.917 ACK: 1006 | sent
1.918 pkt: 1007 | received
1.918 ACK: 1007 | sent
1.919 pkt: 1008 | received
1.919 ACK: 1008 | sent
1.920 pkt: 1009 | received
1.921 ACK: 1009 | sent
1.922 pkt: 1010 | received
1.923 ACK: 1010 | sent
1.923 pkt: 1011 | received
1.923 ACK: 1011 | sent
1.924 pkt: 1012 | received
1.924 ACK: 1012 | sent
1.925 pkt: 1013 | received
1.925 ACK: 1013 | sent
1.927 pkt: 1014 | received
1.927 ACK: 1014 | sent
1.927 pkt: 1015 | received
1.927 ACK: 1015 | sent
1.928 pkt: 1016 | received
1.928 ACK: 1016 | sent
1.930 pkt: 1017 | received
1.930 ACK: 1017 | sent
1.931 pkt: 1018 | received
1.931 ACK: 1018 | sent
1.932 pkt: 1019 | received
1.932 ACK: 1019 | sent
1.933 pkt: 1020 | received
1.933 ACK: 1020 | sent
1.934 pkt: 1021 | received
1.934 ACK: 1021 | sent
1.936 pkt: 1022 | received
1.936 ACK: 1022 | sent
1.937 pkt: 1023 | received
1.937 ACK: 1023 | sent
1.938 pkt: 1024 | received
1.938 ACK: 1024 | sent
1.939 pkt: 1025 | received
1.939 ACK: 1025 | sent
1.941 pkt: 1026 | received
1.941 ACK: 1026 | sent
1.941 pkt: 1027 | received
1.941 ACK: 1027 | sent
1.943 pkt: 1028 | received
1.943 ACK: 1028 | sent
1.944 pkt: 1029 | received
1.944 ACK: 1029 | sent
1.945 pkt: 1030 | received
1.945 ACK: 1030 | sent
1.946 pkt: 1031 | received
1.946 ACK: 1031 | sent
1.947 pkt: 1032 | received
1.947 ACK: 1032 | sent
1.948 pkt: 1033 | received
1.948 ACK: 1033 | sent
1.950 pkt: 1034 | received
1.950 ACK: 1034 | sent
1.950 pkt: 1035 | received
1.951 ACK: 1035 | sent
1.952 pkt: 1036 | received
1.952 ACK: 1036 | sent
1.954 pkt: 1037 | received
1.954 ACK: 1037 | sent
1.954 pkt: 1038 | received
1.955 ACK: 1038 | sent
1.955 pkt: 1039 | received
1.956 ACK: 1039 | sent
1.957 pkt: 1040 | received
1.957 ACK: 1040 | sent
1.958 pkt: 1041 | received
1.958 ACK: 1041 | sent
1.959 pkt: 1042 | received
1.959 ACK: 1042 | sent
1.960 pkt: 1043 | received
1.960 ACK: 1043 | sent
1.961 pkt: 1044 | received
1.961 ACK: 1044 | sent
1.962 pkt: 1045 | received
1.962 ACK: 1045 | sent
1.963 pkt: 1046 | received
1.963 ACK: 1046 | sent
1.964 pkt: 1047 | received
1.965 ACK: 1047 | sent
1.966 pkt: 1048 | received
1.966 ACK: 1048 | sent
1.967 pkt: 1049 | received
1.967 ACK: 1049 | sent
1.968 pkt: 1050 | received
1.968 ACK: 1050 | sent
1.969 pkt: 1051 | received
1.969 ACK: 1051 | sent
1.970 pkt: 1052 | received
1.970 ACK: 1052 | sent
1.971 pkt: 1053 | received
1.971 ACK: 1053 | sent
1.973 pkt: 1054 | received
1.973 ACK: 1054 | sent
1.974 pkt: 1055 | received
1.974 ACK: 1055 | sent
1.975 pkt: 1056 | received
1.975 ACK: 1056 | sent
1.976 pkt: 1057 | received
1.976 ACK: 1057 | sent
1.978 pkt: 1058 | received
1.978 ACK: 1058 | sent
1.978 pkt: 1059 | received
1.978 ACK: 1059 | sent
1.980 pkt: 1060 | received
1.980 ACK: 1060 | sent
1.981 pkt: 1061 | received
1.981 ACK: 1061 | sent
1.981 pkt: 1062 | received
1.981 ACK: 1062 | sent
1.983 pkt: 1063 | received
1.983 ACK: 1063 | sent
1.984 pkt: 1064 | received
1.984 ACK: 1064 | sent
1.986 pkt: 1065 | received
1.987 ACK: 1065 | sent
1.987 pkt: 1066 | received
1.987 ACK: 1066 | sent
1.987 pkt: 1067 | received
1.987 ACK: 1067 | sent
1.989 pkt: 1068 | received
1.989 ACK: 1068 | sent
1.990 pkt: 1069 | received
1.990 ACK: 1069 | sent
1.991 pkt: 1070 | received
1.991 ACK: 1070 | sent
1.992 pkt: 1071 | received
1.992 ACK: 1071 | sent
1.994 pkt: 1072 | received
1.994 ACK: 1072 | sent
1.994 pkt: 1073 | received
1.994 ACK: 1073 | sent
1.995 pkt: 1074 | received
1.995 ACK: 1074 | sent
1.996 pkt: 1076 | received
1.996 ACK: 1074 | sent
1.998 pkt: 1077 | received
1.998 ACK: 1074 | sent
2.000 pkt: 1078 | received
2.000 ACK: 1074 | sent
2.000 pkt: 1079 | received
2.000 ACK: 1074 | sent
2.001 pkt: 1080 | received
2.001 ACK: 1074 | sent
2.002 pkt: 1081 | received
2.002 ACK: 1074 | sent
2.006 pkt: 1082 | received
2.006 ACK: 1074 | sent
2.006 pkt: 1083 | received
2.006 ACK: 1074 | sent
2.006 pkt: 1084 | received
2.007 ACK: 1074 | sent
2.008 pkt: 1085 | received
2.008 ACK: 1074 | sent
2.009 pkt: 1086 | received
2.009 ACK: 1074 | sent
2.013 pkt: 1087 | received
2.014 ACK: 1074 | sent
2.014 pkt: 1088 | received
2.014 ACK: 1074 | sent
2.014 pkt: 1089 | received
2.014 ACK: 1074 | sent
2.016 pkt: 1090 | received
2.016 ACK: 1074 | sent
2.017 pkt: 1091 | received
2.017 ACK: 1074 | sent
2.020 pkt: 1092 | received
2.020 ACK: 1074 | sent
2.020 pkt: 1093 | received
2.020 ACK: 1074 | sent
2.022 pkt: 1094 | received
2.022 ACK: 1074 | sent
2.022 pkt: 1095 | received
2.022 ACK: 1074 | sent
2.025 pkt: 1096 | received
2.025 ACK: 1074 | sent
2.025 pkt: 1097 | received
2.025 ACK: 1074 | sent
2.026 pkt: 1098 | received
2.026 ACK: 1074 | sent
2.029 pkt: 1099 | received
2.029 ACK: 1074 | sent
2.029 pkt: 1100 | received
2.029 ACK: 1074 | sent
2.031 pkt: 1101 | received
2.031 ACK: 1074 | sent
2.031 pkt: 1102 | received
2.031 ACK: 1074 | sent
2.032 pkt: 1103 | received
2.032 ACK: 1074 | sent
2.036 pkt: 1104 | received
2.036 ACK: 1074 | sent
2.036 pkt: 1105 | received
2.036 ACK: 1074 | sent
2.037 pkt: 1075 | received
2.037 ACK: 1105 | sent
2.039 pkt: 1075 | received
2.039 ACK: 1105 | sent
2.039 pkt: 1075 | received
2.039 ACK: 1105 | sent
2.041 pkt: 1075 | received
2.041 ACK: 1105 | sent
2.041 pkt: 1075 | received
2.041 ACK: 1105 | sent
2.043 pkt: 1075 | received
2.043 ACK: 1105 | sent
2.044 pkt: 1075 | received
2.044 ACK: 1105 | sent
2.045 pkt: 1075 | received
2.045 ACK: 1105 | sent
2.047 pkt: 1075 | received
2.047 ACK: 1105 | sent
2.047 pkt: 1075 | received
2.049 ACK: 1105 | sent
2.050 pkt: 1075 | received
2.050 ACK: 1105 | sent
2.053 pkt: 1075 | received
2.054 ACK: 1105 | sent
2.057 pkt: 1075 | received
2.058 ACK: 1105 | sent
2.058 pkt: 1107 | received
2.058 ACK: 1105 | sent
2.058 pkt: 1108 | received
2.058 ACK: 1105 | sent
2.060 pkt: 1109 | received
2.060 ACK: 1105 | sent
2.061 pkt: 1110 | received
2.061 ACK: 1105 | sent
2.062 pkt: 1111 | received
2.062 ACK: 1105 | sent
2.063 pkt: 1112 | received
2.063 ACK: 1105 | sent
2.064 pkt: 1113 | received
2.065 ACK: 1105 | sent
2.065 pkt: 1114 | received
2.065 ACK: 1105 | sent
2.068 pkt: 1115 | received
2.068 ACK: 1105 | sent
2.068 pkt: 1116 | received
2.068 ACK: 1105 | sent
2.069 pkt: 1117 | received
2.069 ACK: 1105 | sent
2.070 pkt: 1118 | received
2.070 ACK: 1105 | sent
2.072 pkt: 1119 | received
2.072 ACK: 1105 | sent
2.072 pkt: 1120 | received
2.072 ACK: 1105 | sent
2.074 pkt: 1121 | received
2.074 ACK: 1105 | sent
2.075 pkt: 1122 | received
2.075 ACK: 1105 | sent
2.076 pkt: 1123 | received
2.076 ACK: 1105 | sent
2.078 pkt: 1124 | received
2.078 ACK: 1105 | sent
2.078 pkt: 1125 | received
2.078 ACK: 1105 | sent
2.080 pkt: 1126 | received
2.080 ACK: 1105 | sent
2.080 pkt: 1127 | received
2.080 ACK: 1105 | sent
2.081 pkt: 1128 | received
2.082 ACK: 1105 | sent
2.083 pkt: 1129 | received
2.083 ACK: 1105 | sent
2.085 pkt: 1130 | received
2.085 ACK: 1105 | sent
2.085 pkt: 1131 | received
2.085 ACK: 1105 | sent
2.086 pkt: 1133 | received
2.086 ACK: 1105 | sent
2.087 pkt: 1134 | received
2.087 ACK: 1105 | sent
2.088 pkt: 1135 | received
2.088 ACK: 1105 | sent
2.091 pkt: 1136 | received
2.091 ACK: 1105 | sent
2.091 pkt: 1137 | received
2.091 ACK: 1105 | sent
2.092 pkt: 1106 | received
2.092 ACK: 1131 | sent
2.093 pkt: 1106 | received
2.093 ACK: 1131 | sent
2.094 pkt: 1106 | received
2.094 ACK: 1131 | sent
2.095 pkt: 1106 | received
2.095 ACK: 1131 | sent
2.096 pkt: 1106 | received
2.096 ACK: 1131 | sent
2.098 pkt: 1106 | received
2.099 ACK: 1131 | sent
2.099 pkt: 1106 | received
2.099 ACK: 1131 | sent
2.100 pkt: 1106 | received
2.100 ACK: 1131 | sent
2.101 pkt: 1106 | received
2.102 ACK: 1131 | sent
2.102 pkt: 1106 | received
2.102 ACK: 1131 | sent
2.103 pkt: 1106 | received
2.103 ACK: 1131 | sent
2.104 pkt: 1106 | received
2.104 ACK: 1131 | sent
2.106 pkt: 1106 | received
2.106 ACK: 1131 | sent
2.107 pkt: 1106 | received
2.107 ACK: 1131 | sent
2.108 pkt: 1106 | received
2.108 ACK: 1131 | sent
2.110 pkt: 1106 | received
2.113 ACK: 1131 | sent
2.113 pkt: 1106 | received
2.113 ACK: 1131 | sent
2.113 pkt: 1106 | received
2.113 ACK: 1131 | sent
2.113 pkt: 1106 | received
2.113 ACK: 1131 | sent
2.114 pkt: 1106 | received
2.114 ACK: 1131 | sent
2.115 pkt: 1106 | received
2.115 ACK: 1131 | sent
2.117 pkt: 1138 | received
2.117 ACK: 1131 | sent
2.117 pkt: 1139 | received
2.117 ACK: 1131 | sent
2.119 pkt: 1140 | received
2.119 ACK: 1131 | sent
2.120 pkt: 1141 | received
2.120 ACK: 1131 | sent
2.121 pkt: 1142 | received
2.121 ACK: 1131 | sent
2.122 pkt: 1143 | received
2.123 ACK: 1131 | sent
2.124 pkt: 1144 | received
2.124 ACK: 1131 | sent
2.124 pkt: 1145 | received
2.124 ACK: 1131 | sent
2.126 pkt: 1146 | received
2.126 ACK: 1131 | sent
2.127 pkt: 1147 | received
2.127 ACK: 1131 | sent
2.128 pkt: 1148 | received
2.128 ACK: 1131 | sent
2.130 pkt: 1149 | received
2.130 ACK: 1131 | sent
2.130 pkt: 1150 | received
2.130 ACK: 1131 | sent
2.131 pkt: 1151 | received
2.132 ACK: 1131 | sent
2.132 pkt: 1152 | received
2.132 ACK: 1131 | sent
2.133 pkt: 1153 | received
2.134 ACK: 1131 | sent
2.135 pkt: 1154 | received
2.135 ACK: 1131 | sent
2.137 pkt: 1155 | received
2.137 ACK: 1131 | sent
2.137 pkt: 1156 | received
2.137 ACK: 1131 | sent
2.138 pkt: 1157 | received
2.138 ACK: 1131 | sent
2.139 pkt: 1158 | received
2.139 ACK: 1131 | sent
2.140 pkt: 1159 | received
2.140 ACK: 1131 | sent
2.142 pkt: 1160 | received
2.142 ACK: 1131 | sent
2.142 pkt: 1161 | received
2.142 ACK: 1131 | sent
2.144 pkt: 1162 | received
2.144 ACK: 1131 | sent
2.145 pkt: 1163 | received
2.145 ACK: 1131 | sent
2.146 pkt: 1132 | received
2.146 ACK: 1163 | sent
2.148 pkt: 1132 | received
2.148 ACK: 1163 | sent
2.149 pkt: 1132 | received
2.149 ACK: 1163 | sent
2.150 pkt: 1132 | received
2.150 ACK: 1163 | sent
2.151 pkt: 1132 | received
2.151 ACK: 1163 | sent
2.152 pkt: 1132 | received
2.152 ACK: 1163 | sent
2.153 pkt: 1132 | received
2.154 ACK: 1163 | sent
2.154 pkt: 1132 | received
2.154 ACK: 1163 | sent
2.156 pkt: 1132 | received
2.156 ACK: 1163 | sent
2.157 pkt: 1132 | received
2.157 ACK: 1163 | sent
2.158 pkt: 1132 | received
2.158 ACK: 1163 | sent
2.159 pkt: 1132 | received
2.159 ACK: 1163 | sent
2.160 pkt: 1132 | received
2.160 ACK: 1163 | sent
2.161 pkt: 1132 | received
2.161 ACK: 1163 | sent
2.163 pkt: 1132 | received
2.163 ACK: 1163 | sent
2.163 pkt: 1132 | received
2.164 ACK: 1163 | sent
2.165 pkt: 1132 | received
2.165 ACK: 1163 | sent
2.167 pkt: 1132 | received
2.167 ACK: 1163 | sent
2.167 pkt: 1132 | received
2.167 ACK: 1163 | sent
2.169 pkt: 1132 | received
2.169 ACK: 1163 | sent
2.170 pkt: 1132 | received
2.170 ACK: 1163 | sent
2.170 pkt: 1132 | received
2.170 ACK: 1163 | sent
2.172 pkt: 1164 | received
2.172 ACK: 1164 | sent
2.174 pkt: 1165 | received
2.174 ACK: 1165 | sent
2.174 pkt: 1166 | received
2.174 ACK: 1166 | sent
2.175 pkt: 1167 | received
2.176 ACK: 1167 | sent
2.176 pkt: 1168 | received
2.177 ACK: 1168 | sent
2.177 pkt: 1169 | received
2.178 ACK: 1169 | sent
2.178 pkt: 1170 | received
2.178 ACK: 1170 | sent
2.180 pkt: 1171 | received
2.181 ACK: 1171 | sent
2.181 pkt: 1172 | received
2.181 ACK: 1172 | sent
2.182 pkt: 1173 | received
2.182 ACK: 1173 | sent
2.183 pkt: 1174 | received
2.183 ACK: 1174 | sent
2.184 pkt: 1175 | received
2.184 ACK: 1175 | sent
2.186 pkt: 1176 | received
2.186 ACK: 1176 | sent
2.186 pkt: 1177 | received
2.186 ACK: 1177 | sent
2.188 pkt: 1178 | received
2.188 ACK: 1178 | sent
2.189 pkt: 1179 | received
2.189 ACK: 1179 | sent
2.190 pkt: 1180 | received
2.190 ACK: 1180 | sent
2.191 pkt: 1181 | received
2.191 ACK: 1181 | sent
2.193 pkt: 1182 | received
2.194 ACK: 1182 | sent
2.194 pkt: 1183 | received
2.194 ACK: 1183 | sent
2.195 pkt: 1184 | received
2.195 ACK: 1184 | sent
2.196 pkt: 1185 | received
2.196 ACK: 1185 | sent
2.197 pkt: 1186 | received
2.197 ACK: 1186 | sent
2.199 pkt: 1187 | received
2.199 ACK: 1187 | sent
2.199 pkt: 1188 | received
2.199 ACK: 1188 | sent
2.201 pkt: 1189 | received
2.201 ACK: 1189 | sent
2.202 pkt: 1190 | received
2.202 ACK: 1190 | sent
2.202 pkt: 1191 | received
2.203 ACK: 1191 | sent
2.204 pkt: 1192 | received
2.204 ACK: 1192 | sent
2.206 pkt: 1193 | received
2.206 ACK: 1193 | sent
2.206 pkt: 1194 | received
2.206 ACK: 1194 | sent
2.208 pkt: 1195 | received
2.208 ACK: 1195 | sent
2.208 pkt: 1164 | received
2.208 ACK: 1195 | sent
2.210 pkt: 1164 | received
2.210 ACK: 1195 | sent
2.211 pkt: 1164 | received
2.212 ACK: 1195 | sent
2.212 pkt: 1164 | received
2.212 ACK: 1195 | sent
2.213 pkt: 1164 | received
2.214 ACK: 1195 | sent
2.214 pkt: 1164 | received
2.214 ACK: 1195 | sent
2.215 pkt: 1164 | received
2.215 ACK: 1195 | sent
2.217 pkt: 1164 | received
2.217 ACK: 1195 | sent
2.218 pkt: 1164 | received
2.218 ACK: 1195 | sent
2.219 pkt: 1164 | received
2.219 ACK: 1195 | sent
2.220 pkt: 1196 | received
2.220 ACK: 1196 | sent
2.221 pkt: 1197 | received
2.221 ACK: 1197 | sent
2.222 pkt: 1198 | received
2.222 ACK: 1198 | sent
2.224 pkt: 1199 | received
2.225 ACK: 1199 | sent
2.225 pkt: 1200 | received
2.225 ACK: 1200 | sent
2.226 pkt: 1201 | received
2.226 ACK: 1201 | sent
2.227 pkt: 1202 | received
2.227 ACK: 1202 | sent
2.228 pkt: 1203 | received
2.228 ACK: 1203 | sent
2.229 pkt: 1204 | received
2.229 ACK: 1204 | sent
2.231 pkt: 1205 | received
2.232 ACK: 1205 | sent
2.232 pkt: 1206 | received
2.232 ACK: 1206 | sent
2.233 pkt: 1207 | received
2.233 ACK: 1207 | sent
2.234 pkt: 1208 | received
2.234 ACK: 1208 | sent
2.235 pkt: 1210 | received
2.236 ACK: 1208 | sent
2.236 pkt: 1211 | received
2.236 ACK: 1208 | sent
2.238 pkt: 1212 | received
2.238 ACK: 1208 | sent
2.238 pkt: 1214 | received
2.238 ACK: 1208 | sent
2.240 pkt: 1215 | received
2.240 ACK: 1208 | sent
2.241 pkt: 1216 | received
2.241 ACK: 1208 | sent
2.243 pkt: 1217 | received
2.243 ACK: 1208 | sent
2.243 pkt: 1218 | received
2.243 ACK: 1208 | sent
2.245 pkt: 1219 | received
2.245 ACK: 1208 | sent
2.245 pkt: 1220 | received
2.245 ACK: 1208 | sent
2.247 pkt: 1221 | received
2.247 ACK: 1208 | sent
2.247 pkt: 1222 | received
2.248 ACK: 1208 | sent
2.249 pkt: 1223 | received
2.249 ACK: 1208 | sent
2.252 pkt: 1224 | received
2.252 ACK: 1208 | sent
2.252 pkt: 1225 | received
2.252 ACK: 1208 | sent
2.253 pkt: 1227 | received
2.253 ACK: 1208 | sent
2.254 pkt: 1196 | received
2.254 ACK: 1208 | sent
2.255 pkt: 1196 | received
2.256 ACK: 1208 | sent
2.256 pkt: 1196 | received
2.256 ACK: 1208 | sent
2.258 pkt: 1196 | received
2.258 ACK: 1208 | sent
2.258 pkt: 1196 | received
2.259 ACK: 1208 | sent
2.260 pkt: 1228 | received
2.260 ACK: 1208 | sent
2.261 pkt: 1229 | received
2.261 ACK: 1208 | sent
2.262 pkt: 1230 | received
2.262 ACK: 1208 | sent
2.263 pkt: 1231 | received
2.263 ACK: 1208 | sent
2.264 pkt: 1232 | received
2.264 ACK: 1208 | sent
2.266 pkt: 1233 | received
2.267 ACK: 1208 | sent
2.267 pkt: 1234 | received
2.267 ACK: 1208 | sent
2.268 pkt: 1235 | received
2.268 ACK: 1208 | sent
2.270 pkt: 1236 | received
2.270 ACK: 1208 | sent
2.270 pkt: 1237 | received
2.271 ACK: 1208 | sent
2.271 pkt: 1238 | received
2.272 ACK: 1208 | sent
2.273 pkt: 1239 | received
2.273 ACK: 1208 | sent
2.274 pkt: 1240 | received
2.274 ACK: 1208 | sent
2.275 pkt: 1209 | received
2.275 ACK: 1212 | sent
2.276 pkt: 1209 | received
2.276 ACK: 1212 | sent
2.278 pkt: 1209 | received
2.278 ACK: 1212 | sent
2.278 pkt: 1209 | received
2.278 ACK: 1212 | sent
2.280 pkt: 1209 | received
2.280 ACK: 1212 | sent
2.281 pkt: 1209 | received
2.281 ACK: 1212 | sent
2.282 pkt: 1209 | received
2.282 ACK: 1212 | sent
2.283 pkt: 1209 | received
2.283 ACK: 1212 | sent
2.284 pkt: 1209 | received
2.284 ACK: 1212 | sent
2.286 pkt: 1209 | received
2.286 ACK: 1212 | sent
2.286 pkt: 1209 | received
2.287 ACK: 1212 | sent
2.288 pkt: 1209 | received
2.288 ACK: 1212 | sent
2.289 pkt: 1209 | received
2.289 ACK: 1212 | sent
2.291 pkt: 1209 | received
2.292 ACK: 1212 | sent
2.292 pkt: 1209 | received
2.292 ACK: 1212 | sent
2.294 pkt: 1209 | received
2.295 ACK: 1212 | sent
2.297 pkt: 1241 | received
2.297 ACK: 1212 | sent
2.297 pkt: 1242 | received
2.297 ACK: 1212 | sent
2.298 pkt: 1243 | received
2.298 ACK: 1212 | sent
2.300 pkt: 1244 | received
2.300 ACK: 1212 | sent
2.300 pkt: 1213 | received
2.301 ACK: 1225 | sent
2.302 pkt: 1213 | received
2.302 ACK: 1225 | sent
2.303 pkt: 1213 | received
2.303 ACK: 1225 | sent
2.305 pkt: 1213 | received
2.305 ACK: 1225 | sent
2.308 pkt: 1213 | received
2.308 ACK: 1225 | sent
2.310 pkt: 1213 | received
2.310 ACK: 1225 | sent
2.313 pkt: 1213 | received
2.313 ACK: 1225 | sent
2.318 pkt: 1213 | received
2.318 ACK: 1225 | sent
2.319 pkt: 1213 | received
